operator,name_from,name_to,vehicle_class,price,distance,effective_from,effective_to,season_start,season_end,source_id
APRR,AMBERIEU,BEAUNE NORD,1,14.30,154.54,2026-02-01,2027-01-31,,,aprr-class1-2026
APRR,AMBERIEU,BEAUNE SUD,1,13.40,148.79,2026-02-01,2027-01-31,,,aprr-class1-2026
APRR,AMBERIEU,BEAUPONT,1,6.40,57.79,2026-02-01,2027-01-31,,,aprr-class1-2026
APRR,AMBERIEU,BEAUREPAIRE,1,8.80,86.09,2026-02-01,2027-01-31,,,aprr-class1-2026
APRR,AMBERIEU,BELLEGARDE,1,8.30,57.41,2026-02-01,2027-01-31,,,aprr-class1-2026
APRR,AMBERIEU,BERSAILLIN,1,11.50,115.49,2026-02-01,2027-01-31,,,aprr-class1-2026
APRR,AMBERIEU,BESANCON EST,1,19.70,212.61,2026-02-01,2027-01-31,,,aprr-class1-2026
APRR,AMBERIEU,BESANCON NORD,1,19.70,197.99,2026-02-01,2027-01-31,,,aprr-class1-2026
APRR,AMBERIEU,BESANCON OUEST,1,19.30,188.59,2026-02-01,2027-01-31,,,aprr-class1-2026
APRR,AMBERIEU,BEYNOST,1,4.10,38.19,2026-02-01,2027-01-31,,,aprr-class1-2026
APRR,AMBERIEU,BIERRE-LES-SEMUR,1,19.90,220.29,2026-02-01,2027-01-31,,,aprr-class1-2026
APRR,AMBERIEU,BLERE,1,73.90,616.51,2026-02-01,2027-01-31,,,aprr-class1-2026
APRR,AMBERIEU,BLOIS,1,64.00,510.11,2026-02-01,2027-01-31,,,aprr-class1-2026
APRR,AMBERIEU,BOURG NORD,1,4.80,42.20,2026-02-01,2027-01-31,,,aprr-class1-2026
APRR,AMBERIEU,BOURG SUD,1,2.70,21.77,2026-02-01,2027-01-31,,,aprr-class1-2026
APRR,AMBERIEU,BOURGES (LIM.CONC.),1,70.80,571.11,2026-02-01,2027-01-31,,,aprr-class1-2026
APRR,AMBERIEU,BULGNEVILLE,1,28.70,310.49,2026-02-01,2027-01-31,,,aprr-class1-2026
APRR,AMBERIEU,CHALON CENTRE,1,11.80,126.69,2026-02-01,2027-01-31,,,aprr-class1-2026
APRR,AMBERIEU,CHALON SUD,1,11.80,120.49,2026-02-01,2027-01-31,,,aprr-class1-2026
APRR,AMBERIEU,CHALONS LA VEUVE,1,43.00,441.05,2026-02-01,2027-01-31,,,aprr-class1-2026
APRR,AMBERIEU,CHALONS MOURMELON,1,42.40,449.45,2026-02-01,2027-01-31,,,aprr-class1-2026
